t,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_red,t_div_to_green_on,t_green_on_t_div,t_green,t_gap,prop_not_green,t_RON_t_GON,t_RON_tdiv,id,start,redOn,redOff,greenOn,greenOff,end,t_red_mid,t_green_mid,t_mid,t_green_off_t_div,t_div_to_red_on_mid,t_green_off_t_div_mid,t_green_on_t_div_mid,t_red_off_t_div_mid,t_gap_mid,t_div_to_red_off_mid,t_div_to_green_on_mid,t_RON_t_GON_mid,t_RON_tdiv_mid,prop_not_green_mid,type,div,n,well,cellnum,daughter,sister,position,row,col
11.833357,2.166671,4.166675,7.666682,2.000004,3.000006,8.833351,8.833351,-1.166669,0.302817,0.833335,9.666686,000261,24.833383,27.000054,29.000058,27.833389,36.666740,36.666740,3.166673,7.416681,5.916679,0.000000,1.083336,0.000000,7.416681,8.000016,3.583341,2.083338,1.500003,2.583339,7.000014,1.791670,D,1.000000,71.000000,2.000000,26.000000,129.000000130.000000,125.000000,5.000000,3.000000,5.000000
9.166685,1.500003,4.333342,4.833343,2.833339,2.833339,6.333346,6.166679,-1.500003,0.390909,1.333336,7.666682,000270,32.333398,33.833401,36.666740,35.166737,41.333416,41.500083,2.916673,5.916679,4.583343,0.166667,0.750001,9.083351,6.000012,6.750014,3.583341,2.166671,1.416669,2.166671,5.333344,1.791670,D,1.000000,55.000000,2.000000,27.000000,132.000000133.000000,134.000000,5.000000,6.000000,8.000000
9.666686,1.500003,5.166677,4.500009,3.666674,3.500007,6.166679,6.166679,-1.666670,0.448276,2.000004,8.166683,000271,32.333398,33.833401,37.500075,35.833405,42.000084,42.000084,3.333340,6.583346,4.833343,0.000000,0.750001,9.666686,6.583346,7.416681,4.333342,2.583338,1.750003,2.500005,5.583344,2.166671,D,1.000000,58.000000,2.000000,27.000000,135.000000136.000000,131.000000,5.000000,6.000000,8.000000
13.500027,2.666672,6.833347,6.666680,4.166675,3.500007,10.000020,10.000020,-3.333340,0.382716,0.833335,10.833355,000311,24.333382,27.000054,31.166729,27.833389,37.833409,37.833409,4.750010,8.500017,6.750014,0.000000,1.333336,13.500027,8.500017,10.166687,5.166677,3.416674,1.750003,3.083340,8.083350,2.583339,D,1.000000,81.000000,2.000000,31.000000,144.000000145.000000,146.000000,6.000000,3.000000,7.000000
14.500029,2.666672,7.500015,7.000014,4.833343,2.333338,12.166691,12.166691,-5.166677,0.339080,0.000000,11.833357,000310,24.333382,27.000054,31.833397,26.666720,38.833411,38.833411,5.083344,8.416684,7.250015,0.000000,1.333336,0.000000,8.416684,11.000022,4.916677,3.750008,1.166669,0.000000,8.583351,2.458338,D,1.000000,87.000000,2.000000,31.000000,147.000000148.000000,143.000000,6.000000,3.000000,7.000000
13.333360,1.666670,6.000012,7.333348,4.333342,3.833341,9.500019,9.500019,-2.166671,0.368750,2.166671,11.666690,000361,29.000058,30.666728,35.000070,32.833399,42.333418,42.333418,3.833341,8.583351,6.666680,0.000000,0.833335,13.333360,8.583351,9.666686,4.916677,3.000006,1.916670,2.750006,7.500015,2.458338,D,1.000000,80.000000,2.000000,36.000000,168.000000169.000000,170.000000,6.000000,5.000000,5.000000
14.833363,1.666670,7.166681,7.666682,5.500011,3.666674,11.166689,11.166689,-3.500007,0.365169,2.000004,13.166693,000360,29.000058,30.666728,36.166739,32.666732,43.833421,43.833421,4.416675,9.250019,7.416681,0.000000,0.833335,14.833363,9.250019,11.000022,5.416677,3.583340,1.833337,2.666672,8.250017,2.708339,D,1.000000,89.000000,2.000000,36.000000,171.000000172.000000,167.000000,6.000000,5.000000,5.000000
9.500019,1.166669,3.166673,6.333346,2.000004,2.166671,7.333348,7.333348,-1.000002,0.280702,1.000002,8.333350,000371,33.166733,34.333402,36.333406,35.333404,42.666752,42.666752,2.166671,5.833345,4.750010,0.000000,0.583334,0.000000,5.833345,6.333346,2.666672,1.583337,1.083335,1.666670,5.333344,1.333336,D,1.000000,57.000000,2.000000,37.000000,174.000000175.000000,176.000000,6.000000,5.000000,8.000000
9.666686,1.000002,3.166673,6.500013,2.166671,2.166671,7.500015,7.500015,-1.000002,0.275862,1.166669,8.666684,000370,33.166733,34.166735,36.333406,35.333404,42.833419,42.833419,2.083338,5.916678,4.833343,0.000000,0.500001,9.666686,5.916678,6.416680,2.666672,1.583337,1.083335,1.583337,5.333344,1.333336,D,1.000000,58.000000,2.000000,37.000000,177.000000178.000000,173.000000,6.000000,5.000000,8.000000
8.500017,1.166669,3.833341,4.666676,2.666672,2.333338,6.166679,6.166679,-1.500003,0.362745,1.166669,7.333348,000390,33.666734,34.833403,37.500075,36.000072,42.166751,42.166751,2.500005,5.416677,4.250008,0.000000,0.583334,8.500017,5.416677,6.166679,3.083339,1.916670,1.166669,1.750003,4.833343,1.541670,D,1.000000,51.000000,3.000000,39.000000,182.000000183.000000,184.000000,37.000000,1.000000,6.000000
8.500017,1.666670,3.333340,5.166677,1.666670,2.666672,5.833345,5.833345,-0.666668,0.352941,1.000002,6.833347,000391,33.666734,35.333404,37.000074,36.333406,42.166751,42.166751,2.500005,5.583344,4.250008,0.000000,0.833335,8.500017,5.583344,5.916679,3.000006,1.666670,1.333336,2.166671,5.083343,1.500003,D,1.000000,51.000000,3.000000,39.000000,185.000000186.000000,181.000000,37.000000,1.000000,6.000000
12.833359,1.500003,6.500013,6.333346,5.000010,3.500007,9.333352,9.333352,-3.000006,0.389610,2.000004,11.333356,000401,38.833411,40.333414,45.333424,42.333418,51.666770,51.666770,4.000008,8.166683,6.416679,0.000000,0.750002,12.833359,8.166683,9.666686,5.000010,3.250006,1.750003,2.500005,7.166681,2.500005,D,1.000000,77.000000,3.000000,40.000000,188.000000189.000000,190.000000,37.000000,2.000000,5.000000
16.500033,1.333336,7.166681,9.333352,5.833345,3.166673,13.333360,13.333360,-4.000008,0.313131,1.833337,15.166697,000400,38.833411,40.166747,46.000092,42.000084,55.333444,55.333444,4.250008,9.833353,8.250016,0.000000,0.666668,16.500033,9.833353,11.833357,5.166677,3.583340,1.583336,2.250004,8.916684,2.583339,D,1.000000,99.000000,3.000000,40.000000,191.000000192.000000,187.000000,37.000000,2.000000,5.000000
13.166693,1.500003,7.166681,6.000012,5.666678,4.166675,9.000018,9.000018,-3.000006,0.430380,2.666672,11.666690,000411,33.333400,34.833403,40.500081,37.500075,46.500093,46.500093,4.333342,8.666684,6.583346,0.000000,0.750002,13.166693,8.666684,10.166687,5.666678,3.583340,2.083337,2.833339,7.333348,2.833339,D,1.000000,79.000000,3.000000,41.000000,194.000000195.000000,196.000000,37.000000,2.000000,6.000000
14.333362,1.500003,7.333348,7.000014,5.833345,3.500007,10.833355,10.833355,-3.833341,0.377907,2.000004,12.833359,000410,33.333400,34.833403,40.666748,36.833407,47.666762,47.666762,4.416676,8.916684,7.166681,0.000000,0.750002,14.333362,8.916684,10.833355,5.416677,3.666674,1.750003,2.500005,7.916683,2.708339,D,1.000000,86.000000,3.000000,41.000000,197.000000198.000000,193.000000,37.000000,2.000000,6.000000
10.833355,1.666670,4.333342,6.500013,2.666672,5.000010,5.833345,5.666678,0.666668,0.430769,3.333340,9.166685,000421,35.333404,37.000074,39.666746,40.333414,46.000092,46.166759,3.000006,7.833349,5.416678,0.166667,0.833335,10.750022,7.916683,7.583348,4.666676,2.166671,2.500005,3.333340,6.250013,2.333338,D,1.000000,65.000000,3.000000,42.000000,200.000000201.000000,202.000000,37.000000,2.000000,8.000000
11.833357,1.666670,2.666672,9.166685,1.000002,6.333346,5.500011,5.166677,3.666674,0.380282,4.666676,10.166687,000420,35.333404,37.000074,38.000076,41.666750,46.833427,47.166761,2.166671,8.916685,5.916678,0.333334,0.833335,11.666690,9.083351,7.250014,4.500009,1.333336,3.166673,4.000008,6.750014,2.250004,D,1.000000,71.000000,3.000000,42.000000,203.000000204.000000,199.000000,37.000000,2.000000,8.000000
11.500023,2.000004,4.000008,7.500015,2.000004,2.666672,8.833351,8.833351,-1.333336,0.289855,0.666668,9.500019,000430,29.833393,31.833397,33.833401,32.500065,41.333416,41.333416,3.000006,7.083348,5.750011,0.000000,1.000002,11.500023,7.083348,7.750016,3.333340,2.000004,1.333336,2.333338,6.750014,1.666670,D,1.000000,69.000000,3.000000,43.000000,206.000000207.000000,208.000000,37.000000,3.000000,6.000000
11.666690,2.000004,4.000008,7.666682,2.000004,2.666672,9.000018,8.833351,-1.333336,0.285714,0.666668,9.666686,000431,29.833393,31.833397,33.833401,32.500065,41.333416,41.500083,3.000006,7.083348,5.833345,0.166667,1.000002,11.583357,7.166681,7.833349,3.333340,2.000004,1.333336,2.333338,6.833347,1.666670,D,1.000000,70.000000,3.000000,43.000000,209.000000210.000000,205.000000,37.000000,3.000000,6.000000
14.500029,1.833337,5.666678,8.833351,3.833341,10.666688,3.833341,3.833341,5.000010,0.563218,8.833351,12.666692,000440,34.166735,36.000072,39.833413,44.833423,48.666764,48.666764,3.750007,12.583359,7.250014,0.000000,0.916669,14.500029,12.583359,10.083354,8.166683,2.833339,5.333344,6.250012,8.166683,4.083341,D,1.000000,87.000000,3.000000,44.000000,212.000000213.000000,214.000000,37.000000,4.000000,6.000000
14.666696,1.833337,5.333344,9.333352,3.500007,5.166677,9.500019,9.500019,-0.166667,0.357955,3.333340,12.833359,000441,34.166735,36.000072,39.500079,39.333412,48.833431,48.833431,3.583340,9.916686,7.333348,0.000000,0.916669,14.666696,9.916686,10.000020,5.250011,2.666672,2.583338,3.500007,8.250017,2.625005,D,1.000000,88.000000,3.000000,44.000000,215.000000216.000000,211.000000,37.000000,4.000000,6.000000
8.666684,1.500003,1.666670,7.000014,0.166667,1.833337,6.833347,6.833347,0.166667,0.201923,0.333334,7.166681,000450,31.333396,32.833399,33.000066,33.166733,40.000080,40.000080,1.583337,5.250011,4.333342,0.000000,0.750002,8.666684,5.250011,5.166677,1.750003,0.833335,0.916669,1.666670,5.083344,0.875002,D,1.000000,52.000000,3.000000,45.000000,218.000000219.000000,220.000000,37.000000,5.000000,5.000000
10.166687,1.000002,3.333340,6.833347,2.333338,3.000006,7.166681,7.166681,-0.333334,0.311475,2.000004,9.166685,000460,35.500071,36.500073,38.833411,38.500077,45.666758,45.666758,2.166671,6.583346,5.083343,0.000000,0.500001,10.166687,6.583346,6.750013,3.166673,1.666670,1.500003,2.000004,5.583344,1.583337,D,1.000000,61.000000,3.000000,46.000000,224.000000225.000000,226.000000,37.000000,6.000000,1.000000
11.000022,1.000002,3.500007,7.500015,2.500005,3.666674,7.333348,7.333348,0.166667,0.325758,2.666672,10.000020,000461,35.500071,36.500073,39.000078,39.166745,46.500093,46.500093,2.250004,7.333348,5.500011,0.000000,0.500001,11.000022,7.333348,7.250014,3.583340,1.750003,1.833337,2.333338,6.000012,1.791670,D,1.000000,66.000000,3.000000,46.000000,227.000000228.000000,223.000000,37.000000,6.000000,1.000000
17.000034,3.500007,7.666682,9.333352,4.166675,8.000016,9.000018,8.833351,0.333334,0.460784,4.500009,13.500027,000481,27.166721,30.666728,34.833403,35.166737,44.000088,44.166755,5.583345,12.416692,8.500017,0.166667,1.750003,16.916700,12.500025,12.333358,7.833349,3.833341,4.000008,5.750011,10.250020,3.916675,D,1.000000,102.000000,3.000000,48.000000,236.000000237.000000,238.000000,38.000000,1.000000,8.000000
19.000038,3.166673,9.500019,9.500019,6.333346,8.000016,11.000022,11.000022,-1.500003,0.460526,4.833343,15.833365,000480,27.166721,30.333394,36.666740,35.166737,46.166759,46.166759,6.333346,13.500027,9.500019,0.000000,1.583337,19.000038,13.500027,14.250029,8.750018,4.750010,4.000008,5.583345,11.083356,4.375009,D,1.000000,114.000000,3.000000,48.000000,239.000000240.000000,235.000000,38.000000,1.000000,8.000000
12.166691,1.666670,3.333340,8.833351,1.666670,5.666678,6.500013,6.000012,2.333338,0.369863,4.000008,10.500021,000490,26.833387,28.500057,30.166727,32.500065,38.500077,39.000078,2.500005,8.666684,6.083346,0.500001,0.833335,11.916691,8.916685,7.750016,4.500009,1.666670,2.833339,3.666674,6.916680,2.250004,D,1.000000,73.000000,3.000000,49.000000,242.000000243.000000,244.000000,38.000000,4.000000,1.000000
