well,t,t_red,t_RON_t_GON,t_RON_tdiv,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_gap,t_div_to_green_on,t_green_on_t_div,t_green,t_green_off_t_div,start,redOn,redOff,greenOn,greenOff,end,type,div,position,col,row
2,12.7,3.7,3.95,11.25,1.45,5.15,7.55,0.25,5.4,7.3,7.3,0,25.45,26.9,30.6,30.85,38.15,38.15,D,1,73,4,1
2,17.35,3.9,2.25,15.4,1.95,5.85,11.5,-1.65,4.2,13.15,13.15,0,33.6,35.55,39.45,37.8,50.95,50.95,D,1,73,3,2
2,16.9,3.85,2.2,14.9,2,5.85,11.05,-1.65,4.2,12.7,12.7,0,33.6,35.6,39.45,37.8,50.5,50.5,D,1,73,3,2
2,9.05,0.6,2,7.7,1.35,1.95,7.1,1.4,3.35,5.7,5.65,0.05,27.15,28.5,29.1,30.5,36.15,36.2,D,1,73,2,3
2,8.2,0.7,1.25,6.85,1.35,2.05,6.15,0.55,2.6,5.6,5.55,0.05,27.15,28.5,29.2,29.75,35.3,35.35,D,1,73,2,3
2,9.05,1.15,1.7,8,1.05,2.2,6.85,0.55,2.75,6.3,6.3,0,33.45,34.5,35.65,36.2,42.5,42.5,D,1,74,4,1
2,8.15,0.05,1.05,6.8,1.35,1.4,6.75,1,2.4,5.75,5.7,0.05,33.45,34.8,34.85,35.85,41.55,41.6,D,1,74,4,1
2,10.65,2.2,1.35,9.5,1.15,3.35,7.3,-0.85,2.5,8.15,8.15,0,30.9,32.05,34.25,33.4,41.55,41.55,D,1,74,5,4
2,10.55,2.45,1.4,9.4,1.15,3.6,6.95,-1.05,2.55,8,8,0,30.9,32.05,34.5,33.45,41.45,41.45,D,1,74,5,4
2,6.85,0,0,0,0,0,0,0,2.5,4.35,4.3,0.05,31,0,0,33.5,37.8,37.85,D,1,75,2,1
2,6.7,0,0,0,0,0,0,0,4.85,1.85,1.65,0.2,31,0,0,35.85,37.5,37.7,D,1,75,2,1
2,9.55,0.4,1.45,7.8,1.75,2.15,7.4,1.05,3.2,6.35,6.3,0.05,14.9,16.65,17.05,18.1,24.4,24.45,D,1,77,1,1
2,9.3,0.5,2,7.55,1.75,2.25,7.05,1.5,3.75,5.55,5.55,0,14.9,16.65,17.15,18.65,24.2,24.2,D,1,77,1,1
2,8.15,0.65,2.1,6.75,1.4,2.05,6.1,1.45,3.5,4.65,4.65,0,18.35,19.75,20.4,21.85,26.5,26.5,D,1,77,3,2
2,7.8,0.05,1.2,6.25,1.55,1.6,6.2,1.15,2.75,5.05,5,0.05,18.35,19.9,19.95,21.1,26.1,26.15,D,1,77,3,2
2,11.8,1.5,2.45,10.1,1.7,3.2,8.6,0.95,4.15,7.65,7.6,0.05,20.9,22.6,24.1,25.05,32.65,32.7,D,1,77,2,3
2,11.85,2.3,4.6,10.15,1.7,4,7.85,2.3,6.3,5.55,5.5,0.05,20.9,22.6,24.9,27.2,32.7,32.75,D,1,77,2,3
2,16.3,3.85,5.3,14.75,1.55,5.4,10.9,1.45,6.85,9.45,9.35,0.1,32.75,34.3,38.15,39.6,48.95,49.05,D,1,77,1,3
2,16.75,3.85,3.6,15.05,1.7,5.55,11.2,-0.25,5.3,11.45,11.35,0.1,32.75,34.45,38.3,38.05,49.4,49.5,D,1,77,1,3
2,7.5,0,0,0,0,0,0,0,3.55,3.95,3.9,0.05,19.4,0,0,22.95,26.85,26.9,D,1,77,1,4
2,8.15,0,0,0,0,0,0,0,3.55,4.6,4.55,0.05,19.4,0,0,22.95,27.5,27.55,D,1,77,1,4
2,12.55,3.25,2.05,11.2,1.35,4.6,7.95,-1.2,3.4,9.15,9.15,0,14,15.35,18.6,17.4,26.55,26.55,D,1,8,1,3
2,12.4,2.1,1.4,10.85,1.55,3.65,8.75,-0.7,2.95,9.45,9.45,0,14,15.55,17.65,16.95,26.4,26.4,D,1,8,1,3
2,14.8,4.3,2.7,13.45,1.35,5.65,9.15,-1.6,4.05,10.75,10.75,0,33.85,35.2,39.5,37.9,48.65,48.65,D,1,82,3,1
2,13.55,2.6,1.35,11.9,1.65,4.25,9.3,-1.25,3,10.55,10.5,0.05,33.85,35.5,38.1,36.85,47.35,47.4,D,1,82,3,1
2,10.2,2.4,1.3,9.25,0.95,3.35,6.85,-1.1,2.25,7.95,7.9,0.05,36.7,37.65,40.05,38.95,46.85,46.9,D,1,82,4,1
2,10.8,2.45,1.5,9.85,0.95,3.4,7.4,-0.95,2.45,8.35,8.3,0.05,36.7,37.65,40.1,39.15,47.45,47.5,D,1,82,4,1
2,17.2,4.4,2.85,15.4,1.8,6.2,11,-1.55,4.65,12.55,12.55,0,16.65,18.45,22.85,21.3,33.85,33.85,D,1,82,1,1
2,18.15,5.1,4,16.35,1.8,6.9,11.25,-1.1,5.8,12.35,12.3,0.05,16.65,18.45,23.55,22.45,34.75,34.8,D,1,82,1,1
2,15.95,3.55,2.95,14.6,1.35,4.9,11.05,-0.6,4.3,11.65,11.65,0,16.15,17.5,21.05,20.45,32.1,32.1,D,1,82,5,1
2,15.6,4.3,3.85,14.25,1.35,5.65,9.95,-0.45,5.2,10.4,10.35,0.05,16.15,17.5,21.8,21.35,31.7,31.75,D,1,82,5,1
2,11.05,2.95,2.1,9.75,1.3,4.25,6.8,-0.85,3.4,7.65,7.6,0.05,24.6,25.9,28.85,28,35.6,35.65,D,1,82,4,2
2,12.3,2.8,1.95,10.95,1.35,4.15,8.15,-0.85,3.3,9,9,0,24.6,25.95,28.75,27.9,36.9,36.9,D,1,82,4,2
